Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Toilets,Agent_number,Added_on,Updated_on
Recently Renovated City View 4 Bedroom Apartment + Bq + Gym + Tennis Court + Squash + Pool+gym Etc In Ocean Parade Banana Island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Dec 2021,24 Feb 2022
Brand New Fully Furnished 3bedroom Apartment In A Serene Environment In Lekki Phase One .,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-5GCSQ,Lagos,Lekki,"4,500,000",3 beds,3 baths,3 Toilets,07030820139,24 Feb 2022,24 Feb 2022
Tastefully Built 4 Bedroom Semi Detached Duplex;,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-0GBHX,Lagos,Lekki,"6,000,000/year",4 beds,4 baths,5 Toilets,08082163583,14 Feb 2022,24 Feb 2022
"Elegant 4 Bedroom Terrace Duplex At Riverview Terrace, Chevron",Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-0GCRR,Lagos,Lekki,"3,500,000",4 beds,4 baths,5 Toilets,08177766550,24 Feb 2022,24 Feb 2022
4 Bedroom Apartments + Bq+gym+tennis Court,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-0GCQG,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Feb 2022,24 Feb 2022
New & Premium 4 Bedroom Apartment + Gym+ Pool,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-1GCQK,Lagos,Ikoyi,"14,000,000",4 beds,4 baths,5 Toilets,08124269637,23 Feb 2022,24 Feb 2022
4bedroom Semi Detached Duplex Plus A Mini Flat Bq,Mercy Eneli Estate Adelabu Surulere Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-mercy-eneli-estate-adelabu-surulere-lagos-6FZWV,Lagos,Surulere,"5,000,000",4 beds,4 baths,5 Toilets,08081672062,03 Feb 2022,24 Feb 2022
Newly Built 3 Bedroom Flats,Sangotedo Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-sangotedo-lagos-2FZHJ,Lagos,Sangotedo,"2,000,000",0 beds,0 baths,0 Toilets,08028761350,31 Jan 2022,24 Feb 2022
"6,000sqm Bay Of Warehouse", Lakowe Ajah Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-lakowe-ajah-lagos-5EQYX,Lagos,Ajah,"14,000/sqm",0 beds,0 baths,0 Toilets,09022355254,10 May 2021,24 Feb 2022
2 Bedrooms Flat,"Off Guiness Road, Otubu Area Agege Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-off-guiness-road-otubu-area-agege-lagos-1GANR,Lagos,Agege,"800,000/year",2 beds,2 baths,2 Toilets,08180249383,08 Feb 2022,24 Feb 2022
Spacious 5 Bedroom Detached Duplex With Ample Parking Space,Pinnock Beach Estate Ikate Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-sale-pinnock-beach-estate-ikate-lekki-lagos-2FSDR,Lagos,Lekki,"280,000,000",5 beds,5 baths,6 Toilets,09062511340,22 Nov 2021,24 Feb 2022
A Storey Commercial Building For Long Lease,Adeniyi Jones Ikeja Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-adeniyi-jones-ikeja-lagos-4FTLX,Lagos,Ikeja,"35,000,000", beds, baths,8 Toilets,08050606090,03 Dec 2021,24 Feb 2022
A Wing Of 4bedrooms Duplex + 1 Room Bq,Magodo Brooks Estate Magodo Kosofe Ikosi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-magodo-brooks-estate-magodo-kosofe-ikosi-lagos-0FWLM,Lagos,Ikosi,"4,500,000/year",4 beds,4 baths,5 Toilets,08050606090,07 Jan 2022,24 Feb 2022
Newly Renovated 3 Bedroom Flat,Surulere Ojuelegba Surulere Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-surulere-ojuelegba-surulere-lagos-7GANR,Lagos,Surulere,"2,000,000",3 beds,2 baths,2 Toilets,08034918616,08 Feb 2022,24 Feb 2022
Premium & Private 4 Bedroom Terrace House +bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-2GCJX,Lagos,Ikoyi,"12,000,000",4 beds,4 baths,5 Toilets,08124269637,22 Feb 2022,24 Feb 2022
Open Plan Office Spaces,Along Oba Akinjobi Way Ikeja Gra Ikeja Lagos,https://www.propertypro.ng/property/commercial-property-for-rent-along-oba-akinjobi-way-ikeja-gra-ikeja-lagos-3FNMK,Lagos,Ikeja,"65,000/sqm", beds, baths, Toilets,08054797512,20 Oct 2021,24 Feb 2022
2 Bedrooms Flat,Iwaya Yaba Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-iwaya-yaba-lagos-7FZHM,Lagos,Yaba,"1,200,000",0 beds,0 baths,0 Toilets,08028761350,31 Jan 2022,24 Feb 2022
4bedrooms Terrace Duplex With Bq,Close To Coza Church Guzape Abuja,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-coza-church-guzape-abuja-8GBRR,Abuja,Guzape,"7,000,000/year",4 beds,5 baths,6 Toilets,08053979149,16 Feb 2022,24 Feb 2022
Luxury 1 Bedroom Apartment + Elevators+ Pool Etc,Victoria Island Victoria Island Lagos,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-0GBQM,Lagos,Island,"10,000,000",1 beds,1 baths,1 Toilets,08124269637,16 Feb 2022,24 Feb 2022
2 Bedrooms Flat,Olowora Ojodu Lagos,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-olowora-ojodu-lagos-4FZRV,Lagos,Ojodu,"900,000/year",2 beds,2 baths,2 Toilets,08180249383,02 Feb 2022,24 Feb 2022
Newly Built 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-lekki-phase-1-lekki-lagos-7FZHH,Lagos,Lekki,"5,000,000",0 beds,0 baths,0 Toilets,08028761350,31 Jan 2022,24 Feb 2022
Premium 4 Bedroom Penthouse Apartment + Bq+pool,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7GCAP,Lagos,Ikoyi,"9,000,000",4 beds,4 baths,5 Toilets,08124269637,19 Feb 2022,24 Feb 2022
