Description,Location,Links,State,Area,Price,Bedrooms,Bathrooms,Agent_number,Added_on,Updated_on
recently renovated city view 4 bedroom apartment + bq + gym + tennis court + squash + pool+gym etc in ocean parade banana island,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8FVLS,Lagos,Ikoyi,12000000,4,4,8124269637,23 Dec 2021,24 Feb 2022
brand new fully furnished 3bedroom apartment in a serene environment in lekki phase one .,Lekki Phase 1 Lekki Lagos,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-5GCSQ,Lagos,Lekki,4500000,3,3,7030820139,24 Feb 2022,24 Feb 2022
tastefully built 4 bedroom semi detached duplex;,Osapa London Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-0GBHX,Lagos,Lekki,6000000,4,4,8082163583,14 Feb 2022,24 Feb 2022
"elegant 4 bedroom terrace duplex at riverview terrace, chevron",Chevron Lekki Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-0GCRR,Lagos,Lekki,3500000,4,4,8177766550,24 Feb 2022,24 Feb 2022
4 bedroom apartments + bq+gym+tennis court,Banana Island Estate Banana Island Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-banana-island-estate-banana-island-ikoyi-lagos-0GCQG,Lagos,Ikoyi,12000000,4,4,8124269637,23 Feb 2022,24 Feb 2022
new & premium 4 bedroom apartment + gym+ pool,Old Ikoyi Ikoyi Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-1GCQK,Lagos,Ikoyi,14000000,4,4,8124269637,23 Feb 2022,24 Feb 2022
4bedroom semi detached duplex plus a mini flat bq,Mercy Eneli Estate Adelabu Surulere Lagos,https://www.propertypro.ng/property/4-bedroom-house-for-rent-mercy-eneli-estate-adelabu-surulere-lagos-6FZWV,Lagos,Surulere,5000000,1,4,8081672062,03 Feb 2022,24 Feb 2022
newly built 3 bedroom flats,Sangotedo Lagos,https://www.propertypro.ng/property/flat-apartment-for-rent-sangotedo-lagos-2FZHJ,Lagos,Sangotedo,2000000,3,3,8028761350,31 Jan 2022,24 Feb 2022
2 bedrooms flat,"Off Guiness Road, Otubu Area Agege Lagos",https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-off-guiness-road-otubu-area-agege-lagos-1GANR,Lagos,Agege,800000,2,2,8180249383,08 Feb 2022,24 Feb 2022
spacious 5 bedroom detached duplex with ample parking space,Pinnock Beach Estate Ikate Lekki Lagos,https://www.propertypro.ng/property/5-bedroom-house-for-sale-pinnock-beach-estate-ikate-lekki-lagos-2FSDR,Lagos,Lekki,280000000,5,5,9062511340,22 Nov 2021,24 Feb 2022
a wing of 4bedrooms duplex + 1 room bq,Magodo Brooks Estate Magodo Kosofe Ikosi Lagos,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-magodo-brooks-estate-magodo-kosofe-ikosi-lagos-0FWLM,Lagos,Ikosi,4500000,4,4,8050606090,07 Jan 2022,24 Feb 2022
